DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID
52121;1;2015;11;"2540913";1.00;226.02;231.55;276.50;0.00;16860
35381;1;2015;11;"70715";10.00;17.43;20.02;23.50;0.00;16860
66894;1;2015;11;"464";2.00;160.12;157.08;189.00;0.00;16860
48297;1;2015;11;"CF-1507";50.00;16.93;19.12;22.50;0.00;122856
55387;1;2015;11;"550915";2.00;19.98;22.57;27.00;0.00;122856
55438;1;2015;11;"1590515";2.00;24.00;27.12;32.50;0.00;122856
55438;1;2015;11;"1590515";1.00;24.00;27.12;32.50;0.00;122856
56874;1;2015;11;"120715";2.00;552.10;501.26;581.50;0.00;558
64971;1;2015;11;"349545";1.00;550.55;579.00;659.08;0.00;558
67561;1;2015;11;"120915";2.00;13.93;15.73;18.80;0.00;122856
68608;1;2015;11;"050815";2.00;56.62;63.98;75.30;0.00;122856
52289;1;2015;11;"160415";1.00;71.65;80.96;95.20;0.00;122856
41087;1;2015;11;"03/0415";4.00;25.27;28.55;34.20;0.00;122856
53844;1;2015;11;"170415";2.00;26.26;29.67;35.60;0.00;122856
6769;1;2015;11;"3491015";10.00;27.09;30.61;36.70;0.00;122856
55319;1;2015;11;"140515";10.00;22.00;24.85;29.80;0.00;122856
24209;1;2015;11;"5070N0115";2.00;101.77;104.33;124.68;0.00;16866
52113;1;2015;11;"22293015";3.00;172.55;162.44;196.94;0.00;16866
49586;1;2015;11;"3260215";2.00;200.61;206.86;246.98;0.00;16866
49584;1;2015;11;"3320515";2.00;123.98;130.10;154.89;0.00;16866
66063;1;2015;11;"1031272";1.00;1433.16;1431.30;1639.75;0.00;16866
27846;1;2015;11;"5BBKAB4A01";3.00;164.33;167.05;199.91;0.00;16866
66421;1;2015;11;"348268";2.00;241.35;250.08;298.35;0.00;16866
52426;1;2015;11;"51555";2.00;230.58;232.78;278.89;0.00;16866
48983;1;2015;11;"2530515";2.00;235.64;232.64;279.76;0.00;16866
66456;1;2015;11;"MK014008";1.00;385.01;383.74;488.50;0.00;16866
53875;1;2015;11;"4910615";15.00;30.60;32.13;39.08;0.00;122856
30742;1;2015;11;"2700715";2.00;67.41;65.81;79.29;0.00;5274
42970;1;2015;11;"3001P0615";1.00;135.63;142.49;169.61;0.00;5274
6769;1;2015;11;"3491015";2.00;27.09;30.61;36.70;0.00;122856
54962;1;2015;11;"270815";2.00;27.92;31.55;37.80;0.00;122856
55387;1;2015;11;"550915";2.00;19.98;22.56;27.00;0.00;122856
67664;1;2015;11;"160557";1.00;251.91;250.93;301.31;0.00;16866
51812;1;2015;11;"636991";2.00;351.04;354.91;425.11;0.00;16866
68867;1;2015;11;"427687";2.00;172.81;176.33;210.89;0.00;16866
68608;1;2015;11;"050815";10.00;56.62;63.98;75.30;0.00;122856
14694;1;2015;11;"8031114";3.00;210.98;189.90;232.00;0.00;16866
37064;1;2015;11;"205A0315";3.00;103.28;101.51;122.00;0.00;16866
51258;1;2015;11;"16224415";1.00;194.16;195.92;234.00;0.00;16866
55258;1;2015;11;"BTAFVW1";2.00;106.10;109.23;130.00;0.00;558
68337;1;2015;11;"427414";1.00;223.95;215.06;259.00;0.00;558
51121;1;2015;11;"5183B";1.00;465.75;493.72;586.00;0.00;558
47592;1;2015;11;"503665";5.00;101.27;110.11;130.00;0.00;558
68608;1;2015;11;"050815";3.00;56.62;63.97;75.00;0.00;122856
34277;1;2015;11;"41560815";5.00;18.79;21.22;25.00;0.00;122856
54997;1;2015;11;"190815";3.00;26.75;30.22;36.00;0.00;122856
2898;1;2015;11;"026012";5.00;7.79;8.79;10.00;0.00;122856
51985;1;2015;11;"R19179";2.00;93.62;98.54;117.00;0.00;123798
51763;1;2015;11;"729465";1.00;121.00;127.00;151.00;0.00;123798
51467;1;2015;11;"9181501";1.00;103.68;103.87;124.00;0.00;123798
46125;1;2015;11;"05150769";5.00;44.36;46.89;56.00;0.00;123798
66975;1;2015;11;"195784";1.00;134.40;142.77;169.00;0.00;123798
